# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.3100,3.4700,1.0032,1.0032
-1.3300,3.4700,1.0113,1.0113
-1.3500,3.4500,1.0018,1.0018
-1.3700,3.4500,1.0107,1.0107
-1.3900,3.4300,1.0018,1.0018
-1.4100,3.4100,0.9930,0.9930
-1.4300,3.4100,1.0018,1.0018
-1.4500,3.4100,1.0107,1.0107
-1.4700,3.3900,1.0018,1.0018
-1.4900,3.3900,1.0096,1.0096
-1.5100,3.3700,1.0024,1.0024
-1.5300,3.3500,0.9899,0.9899
-1.5500,3.3500,0.9702,0.9702
-1.5700,3.3300,0.9535,0.9535
-1.5900,3.3300,0.9338,0.9338
-1.6100,3.3100,0.9178,0.9178
-1.6300,3.2900,0.9024,0.9024
-1.6500,3.2700,0.8877,0.8877
-1.6500,3.2500,0.8929,0.8929
-1.6700,3.2300,0.8793,0.8793
-1.6700,3.2100,0.8854,0.8854
-1.6700,3.1900,0.8920,0.8920
-1.6900,3.1700,0.8802,0.8802
-1.6900,3.1500,0.8877,0.8877
-1.6900,3.1300,0.8955,0.8955
-1.7100,3.1100,0.8857,0.8857
-1.7300,3.0900,0.8766,0.8766
-1.7300,3.0700,0.8859,0.8859
-1.7300,3.0500,0.8911,0.8911
-1.7500,3.0300,0.8884,0.8884
-1.7700,3.0100,0.8820,0.8820
