# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.2010,3.0620,1.8180,1.8180
-1.2510,3.0620,1.8337,1.8337
-1.3010,3.0120,1.8310,1.8310
-1.3510,3.0120,1.8337,1.8337
-1.4010,2.9620,1.8507,1.8507
-1.4510,2.9120,1.8439,1.8439
-1.5010,2.9120,1.8561,1.8561
-1.5510,2.8620,1.8742,1.8742
-1.6010,2.8620,1.8581,1.8581
-1.6510,2.8120,1.8848,1.8848
-1.7010,2.7620,1.9105,1.9105
-1.7510,2.7620,1.8974,1.8974
-1.8010,2.7120,1.8668,1.8668
-1.8510,2.6620,1.8111,1.8111
-1.9010,2.6120,1.7564,1.7564
-1.9010,2.5620,1.7529,1.7529
-1.9010,2.5120,1.7507,1.7507
-1.9010,2.4620,1.7500,1.7500
-1.9010,2.4120,1.7500,1.7500
-1.9510,2.3620,1.7000,1.7000
-1.9510,2.3120,1.7000,1.7000
-1.9510,2.2620,1.7000,1.7000
-1.9510,2.2120,1.7000,1.7000
-1.9510,2.1620,1.7000,1.7000
-1.9510,2.1120,1.7000,1.7000
-1.9510,2.0620,1.7007,1.7007
-2.0010,2.0120,1.6530,1.6530
-2.0010,1.9620,1.6568,1.6568
-2.0010,1.9120,1.6621,1.6621
-2.0010,1.8620,1.6688,1.6688
-2.0010,1.8120,1.6771,1.6771
-2.0010,1.7620,1.6867,1.6867
-2.0010,1.7120,1.6978,1.6978
-2.0010,1.6620,1.7066,1.7066
-2.0010,1.6120,1.7066,1.7066
-2.0010,1.5620,1.7029,1.7029
-2.0010,1.5120,1.7007,1.7007
-2.0010,1.4620,1.7000,1.7000
-2.0010,1.4120,1.7000,1.7000
-2.0010,1.3620,1.7000,1.7000
-2.0010,1.3120,1.7000,1.7000
-2.0010,1.2620,1.7000,1.7000
-2.0010,1.2120,1.7000,1.7000
-2.0510,1.1620,1.7464,1.7464
-2.0510,1.1120,1.7500,1.7500
-2.0510,1.0620,1.7464,1.7464
-2.0510,1.0120,1.7357,1.7357
-2.0510,0.9620,1.7263,1.7263
-2.0510,0.9120,1.7183,1.7183
-2.0010,0.8620,1.7357,1.7357
-2.0010,0.8120,1.7464,1.7464
-2.0010,0.7620,1.7529,1.7529
-2.0010,0.7120,1.7507,1.7507
-2.0010,0.6620,1.7500,1.7500
-1.9510,0.6120,1.7557,1.7557
-1.9510,0.5620,1.7678,1.7678
-1.9010,0.5120,1.7464,1.7464
-1.9010,0.4620,1.7241,1.7241
-1.8510,0.4120,1.7066,1.7066
-1.8010,0.4120,1.7000,1.7000
-1.7510,0.3620,1.6808,1.6808
-1.7510,0.3120,1.6763,1.6763
-1.7010,0.2620,1.6447,1.6447
-1.6510,0.2120,1.6155,1.6155
-1.6010,0.2120,1.6348,1.6348
-1.5510,0.1620,1.6101,1.6101
-1.5010,0.1120,1.5882,1.5882
-1.4510,0.1120,1.5914,1.5914
-1.4010,0.0620,1.5890,1.5890
-1.3510,0.0120,1.5652,1.5652
-1.3010,0.0120,1.5620,1.5620
-1.2510,-0.0380,1.5692,1.5692
-1.2010,-0.0880,1.5532,1.5532
-1.1510,-0.0880,1.5532,1.5532
-1.1010,-0.1380,1.5652,1.5652
-1.0510,-0.1880,1.5435,1.5435
-1.0010,-0.1880,1.5652,1.5652
-0.9510,-0.2380,1.5207,1.5207
-0.9010,-0.2380,1.5133,1.5133
-0.8510,-0.2380,1.5075,1.5075
-0.8010,-0.2380,1.5033,1.5033
-0.7510,-0.2380,1.5008,1.5008
-0.7010,-0.2380,1.5000,1.5000
-0.6510,-0.2380,1.4916,1.4916
-0.6010,-0.2380,1.4807,1.4807
